Authors,Title,JournalFullName,JournalShortName,Link,CCF,Type,PublicationDetail
"Meng Li and Hanni Ding and Yifei Chen and Yan Qiao* and Zijian Zhang* and Liehuang Zhu and Mauro Conti", "Threshold Signatures with Verifiably Timed Combining and Message-Dependent Tracing", "IEEE Transactions on Information Forensics and Security","TIFS","","CCF A","Journal","Accepted"
"Zhiyuan Wei and Jing Sun and Yuqiang Sun and Ye Liu and Daoyuan Wu and Zijian Zhang* and Xianhao Zhang and Meng Li and Yang Liu and Chunmiao Li and Mingchao Wan and Jin Dong* and Liehuang Zhu","Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Systems","IEEE Transactions on Software Engineering","TSE","","CCF A","Journal","Accepted"
"Xuyang Liu and Zijian Zhang* and Zhen Li and Peng Jiang and Yajie Wang and Meng Li* and Liehuang Zhu","The Deferred Byzantine Generals Problem","IEEE Transactions on Information Forensics and Security","TIFS","https://ieeexplore.ieee.org/document/11095797","CCF A","Journal","2025, 20:7777-7792"
"Zhaoqi Wang and Zijian Zhang* and Zhen Li and Yan Wu and Ye Liu and Meng Li * and Xin Li and Yong Liu and Jincheng An and Wei Liang and Liehuang Zhu","Resisting Poisoning Attacks in Federated Learning via Dual-Domain Distance and Trust Assessment","IEEE Transactions on Information Forensics and Security","TIFS","https://ieeexplore.ieee.org/document/11080042","CCF A","Journal","2025, 20: 7394-7409"
"Xuyang Liu and Zijian Zhang* and Zhen Li and Xin Lu and Meng Li* and Lei Xu and Meng Ao and Liehuang Zhu","Group BFT: Two-Round BFT Protocols via Replica Grouping","IEEE Transactions on Dependable and Secure Computing","TDSC","https://ieeexplore.ieee.org/document/11052729","CCF A","Journal","Accepted"
"Liehuang Zhu and Zijian Zhang and Chang Xu","Secure and Privacy-Preserving Data Communication in Internet of Things","Springer","","","","Book",""
"Zhongmei Ma and Zijian Zhang and Shanping Li and Zeng Li and Jiawei Liu","ARM & Linux Embedded Systems Tutorial (3rd Edition)","","","","Beijing Higher Education Excellent Textbooks","Book",""
"Zhirui Zeng and Jiamou Liu and Meng-Fen Chiang and Jialing He and Zijian Zhang*","S-RAG: A Novel Audit Framework for Detecting Unauthorized Use of Personal Data in RAG Systems","Proceeding of 2025 Annual Meeting of the Association for Computational Linguistics","ACL","https://aclanthology.org/2025.acl-long.512/","CCF A","Conference","Accepted"
"Xuyang Liu and Zijian Zhang* and Zhen Li and Hao Yin and Meng Li* and Jiamou Liu and Mauro Conti and Liehuang Zhu","ABSE: Adaptive Baseline Score-based Election for Leader-based BFT Systems","IEEE Transactions on Parallel and Distributed Systems","TPDS","https://ieeexplore.ieee.org/document/11010843","CCF A","Journal","2025, 36(8): 1634-1650"
"Zhibo Xing and Zijian Zhang* and Ziang Zhang and Zhen Li and Meng Li* and Jiamou Liu and Zongyang Zhang and Yi Zhao and Qi Sun and Liehuang Zhu and Giovanni Russelo","Zero-Knowledge Proof-based Verifiable Decentralized Machine Learning in Communication Network: A Comprehensive Survey","IEEE Communications Surveys & Tutorials","COMST","https://ieeexplore.ieee.org/document/10966041","","Journal","Early Access"
